"Trial","Name","Method","pearson","g_cor","fold","year","trt"
"2013-14
Optimal Flat","univariate_fold_4.csv","Bayesian
Lasso",0.505988111263497,0.401556222884167,4,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","univariate_fold_5.csv","RKHS",0.443857215474311,0.369644173455288,5,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","univariate_fold_5.csv","Bayesian
Lasso",0.439528860381147,0.306508053847268,5,"2013-14","Optimal Flat"
"2014-15
Moderate Drought","H","GBLUP",0.50191277416682,0.378146994656356,1,"2014-15","Moderate Drought"
"2014-15
Moderate Drought","H","HBLUP",0.694828965054178,0.491282427327454,1,"2014-15","Moderate Drought"
"2014-15
Moderate Drought","H","GBLUP+H",0.734209584859506,0.577883044494279,1,"2014-15","Moderate Drought"
"2014-15
Moderate Drought","H_fold_2.csv","GBLUP",0.451495207386908,0.614027526182452,2,"2014-15","Moderate Drought"
"2014-15
Moderate Drought","H_fold_2.csv","HBLUP",0.6108265228412,0.340892425857168,2,"2014-15","Moderate Drought"
"2014-15
Moderate Drought","H_fold_2.csv","GBLUP+H",0.665998789904677,0.510748429724397,2,"2014-15","Moderate Drought"
"2014-15
Moderate Drought","H_fold_3.csv","GBLUP",0.525587062871637,0.498711716021089,3,"2014-15","Moderate Drought"
"2014-15
Moderate Drought","H_fold_3.csv","HBLUP",0.668625108615856,0.391662491624043,3,"2014-15","Moderate Drought"
